Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,20465.29,245583.48,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),Web Server,Amazon EC2 ,0,1007.776,12093.31,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 8), Advance EC2 instance (t3.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Application Server,Amazon EC2 ,0,2278.56,27342.72,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 8), Advance EC2 instance (m5.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Master Database,Amazon RDS for PostgreSQL,0,6964.639999999999,83575.68,USD,,"Storage amount (10 TB), Storage volume (General Purpose SSD (gp3)), Nodes (2), Instance Type (db.m5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (500 MiBps)"
My Estimate,US East (N. Virginia),Read Replica Database,Amazon RDS for PostgreSQL,0,1329.4399999999998,15953.28,USD,,"Storage amount (10 TB), Storage volume (General Purpose SSD (gp3)), Nodes (1), Instance Type (db.m5.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Single-AZ), Pricing Model (OnDemand), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (500 MiBps)"
My Estimate,US East (N. Virginia),Amazon Route 53,Amazon Route 53,0,405.5,4866.00,USD,,"Hosted Zones (1), Basic Checks Within AWS (4), Number of Elastic Network Interfaces (4)"
My Estimate,US East (N. Virginia),S3 Bucket,S3 Standard,0,119.56,1434.72,USD,,"S3 Standard storage (5 TB per month), PUT, COPY, POST, LIST requests to S3 Standard (200000), GET, SELECT, and all other requests from S3 Standard (2000000)"
My Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,920.4,11044.80,USD,,"Data transfer out to internet (10 TB per month), Number of requests (HTTPS) (50 million per month)"
My Estimate,US East (N. Virginia),VPC,VPN Connection,0,667,8004.00,USD,,"Working days per month (30), Number of subnet associations (4)"
My Estimate,US East (N. Virginia),VPC,Network Address Translation (NAT) Gateway,0,83.7,1004.40,USD,,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),CloudWatch,Amazon CloudWatch,0,231.85,2782.20,USD,,"Number of Metrics (includes detailed and custom metrics) (100), Standard Logs: Data Ingested (300 GB), Number of Dashboards (), Number of composite alarms (100), Expected Logs Data scanned (100 GB)"
My Estimate,US East (N. Virginia),Application Load Balancer,Application Load Balancer,0,1184.43,14213.16,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),Application Load Balancer,Network Load Balancer,0,5272.43,63269.16,USD,,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (400 GB per hour), Average number of new TCP connections ( per second), Processed bytes per NLB for TLS (400 GB per hour), Processed bytes per NLB for UDP (400 GB per hour)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."




EC2- increased number of instances total 6 and change to t3.xlarge for the Web servers
EC2- increased number of instances total 6 and change to m5.2xlarge for the Application servers
RDS - increased number of instances from 1 to 2 and change to db.m5.4xlarge. One master per availability zone
Application Load Balancer - increased number of processed GB per month (EC2 and IP)
Network Load Balancer - increased number of processed GB per month (NLB for TCP)
